273	1000000	950	244
273	1000000	950	244
293	1000000	950	244
303	1000000	950	116
313	1000000	950	42.6
323	1000000	950	11.6
333	1000000	950	4.76
343	1000000	950	1.95
353	1000000	950	0.743
363	1000000	950	0.353
373	1000000	950	0.188
383	1000000	950	0.104
393	1000000	950	0.0665
403	1000000	950	0.0476
413	1000000	950	0.0294
423	1000000	950	0.0188
425	1000000	950	0.0188
273	2000000	950	244
273	2000000	950	244
293	2000000	950	244
303	2000000	950	116
313	2000000	950	42.6
323	2000000	950	11.6
333	2000000	950	4.76
343	2000000	950	1.95
353	2000000	950	0.743
363	2000000	950	0.353
373	2000000	950	0.188
383	2000000	950	0.104
393	2000000	950	0.0665
403	2000000	950	0.0476
413	2000000	950	0.0294
423	2000000	950	0.0188
425	2000000	950	0.0188
273	3000000	950	244
273	3000000	950	244
293	3000000	950	244
303	3000000	950	116
313	3000000	950	42.6
323	3000000	950	11.6
333	3000000	950	4.76
343	3000000	950	1.95
353	3000000	950	0.743
363	3000000	950	0.353
373	3000000	950	0.188
383	3000000	950	0.104
393	3000000	950	0.0665
403	3000000	950	0.0476
413	3000000	950	0.0294
423	3000000	950	0.0188
425	3000000	950	0.0188
273	4000000	950	244
273	4000000	950	244
293	4000000	950	244
303	4000000	950	116
313	4000000	950	42.6
323	4000000	950	11.6
333	4000000	950	4.76
343	4000000	950	1.95
353	4000000	950	0.743
363	4000000	950	0.353
373	4000000	950	0.188
383	4000000	950	0.104
393	4000000	950	0.0665
403	4000000	950	0.0476
413	4000000	950	0.0294
423	4000000	950	0.0188
425	4000000	950	0.0188
273	5000000	950	244
273	5000000	950	244
293	5000000	950	244
303	5000000	950	116
313	5000000	950	42.6
323	5000000	950	11.6
333	5000000	950	4.76
343	5000000	950	1.95
353	5000000	950	0.743
363	5000000	950	0.353
373	5000000	950	0.188
383	5000000	950	0.104
393	5000000	950	0.0665
403	5000000	950	0.0476
413	5000000	950	0.0294
423	5000000	950	0.0188
425	5000000	950	0.0188
273	6000000	950	244
273	6000000	950	244
293	6000000	950	244
303	6000000	950	116
313	6000000	950	42.6
323	6000000	950	11.6
333	6000000	950	4.76
343	6000000	950	1.95
353	6000000	950	0.743
363	6000000	950	0.353
373	6000000	950	0.188
383	6000000	950	0.104
393	6000000	950	0.0665
403	6000000	950	0.0476
413	6000000	950	0.0294
423	6000000	950	0.0188
425	6000000	950	0.0188
273	7000000	950	244
273	7000000	950	244
293	7000000	950	244
303	7000000	950	116
313	7000000	950	42.6
323	7000000	950	11.6
333	7000000	950	4.76
343	7000000	950	1.95
353	7000000	950	0.743
363	7000000	950	0.353
373	7000000	950	0.188
383	7000000	950	0.104
393	7000000	950	0.0665
403	7000000	950	0.0476
413	7000000	950	0.0294
423	7000000	950	0.0188
425	7000000	950	0.0188
273	8000000	950	244
273	8000000	950	244
293	8000000	950	244
303	8000000	950	116
313	8000000	950	42.6
323	8000000	950	11.6
333	8000000	950	4.76
343	8000000	950	1.95
353	8000000	950	0.743
363	8000000	950	0.353
373	8000000	950	0.188
383	8000000	950	0.104
393	8000000	950	0.0665
403	8000000	950	0.0476
413	8000000	950	0.0294
423	8000000	950	0.0188
425	8000000	950	0.0188
273	9000000	950	244
273	9000000	950	244
293	9000000	950	244
303	9000000	950	116
313	9000000	950	42.6
323	9000000	950	11.6
333	9000000	950	4.76
343	9000000	950	1.95
353	9000000	950	0.743
363	9000000	950	0.353
373	9000000	950	0.188
383	9000000	950	0.104
393	9000000	950	0.0665
403	9000000	950	0.0476
413	9000000	950	0.0294
423	9000000	950	0.0188
425	9000000	950	0.0188
273	10000000	950	244
273	10000000	950	244
293	10000000	950	244
303	10000000	950	116
313	10000000	950	42.6
323	10000000	950	11.6
333	10000000	950	4.76
343	10000000	950	1.95
353	10000000	950	0.743
363	10000000	950	0.353
373	10000000	950	0.188
383	10000000	950	0.104
393	10000000	950	0.0665
403	10000000	950	0.0476
413	10000000	950	0.0294
423	10000000	950	0.0188
425	10000000	950	0.0188
273	11000000	950	244
273	11000000	950	244
293	11000000	950	244
303	11000000	950	116
313	11000000	950	42.6
323	11000000	950	11.6
333	11000000	950	4.76
343	11000000	950	1.95
353	11000000	950	0.743
363	11000000	950	0.353
373	11000000	950	0.188
383	11000000	950	0.104
393	11000000	950	0.0665
403	11000000	950	0.0476
413	11000000	950	0.0294
423	11000000	950	0.0188
425	11000000	950	0.0188
273	12000000	950	244
273	12000000	950	244
293	12000000	950	244
303	12000000	950	116
313	12000000	950	42.6
323	12000000	950	11.6
333	12000000	950	4.76
343	12000000	950	1.95
353	12000000	950	0.743
363	12000000	950	0.353
373	12000000	950	0.188
383	12000000	950	0.104
393	12000000	950	0.0665
403	12000000	950	0.0476
413	12000000	950	0.0294
423	12000000	950	0.0188
425	12000000	950	0.0188
273	13000000	950	244
273	13000000	950	244
293	13000000	950	244
303	13000000	950	116
313	13000000	950	42.6
323	13000000	950	11.6
333	13000000	950	4.76
343	13000000	950	1.95
353	13000000	950	0.743
363	13000000	950	0.353
373	13000000	950	0.188
383	13000000	950	0.104
393	13000000	950	0.0665
403	13000000	950	0.0476
413	13000000	950	0.0294
423	13000000	950	0.0188
425	13000000	950	0.0188
273	14000000	950	244
273	14000000	950	244
293	14000000	950	244
303	14000000	950	116
313	14000000	950	42.6
323	14000000	950	11.6
333	14000000	950	4.76
343	14000000	950	1.95
353	14000000	950	0.743
363	14000000	950	0.353
373	14000000	950	0.188
383	14000000	950	0.104
393	14000000	950	0.0665
403	14000000	950	0.0476
413	14000000	950	0.0294
423	14000000	950	0.0188
425	14000000	950	0.0188
273	15000000	950	244
273	15000000	950	244
293	15000000	950	244
303	15000000	950	116
313	15000000	950	42.6
323	15000000	950	11.6
333	15000000	950	4.76
343	15000000	950	1.95
353	15000000	950	0.743
363	15000000	950	0.353
373	15000000	950	0.188
383	15000000	950	0.104
393	15000000	950	0.0665
403	15000000	950	0.0476
413	15000000	950	0.0294
423	15000000	950	0.0188
425	15000000	950	0.0188
273	16000000	950	244
273	16000000	950	244
293	16000000	950	244
303	16000000	950	116
313	16000000	950	42.6
323	16000000	950	11.6
333	16000000	950	4.76
343	16000000	950	1.95
353	16000000	950	0.743
363	16000000	950	0.353
373	16000000	950	0.188
383	16000000	950	0.104
393	16000000	950	0.0665
403	16000000	950	0.0476
413	16000000	950	0.0294
423	16000000	950	0.0188
425	16000000	950	0.0188
273	17000000	950	244
273	17000000	950	244
293	17000000	950	244
303	17000000	950	116
313	17000000	950	42.6
323	17000000	950	11.6
333	17000000	950	4.76
343	17000000	950	1.95
353	17000000	950	0.743
363	17000000	950	0.353
373	17000000	950	0.188
383	17000000	950	0.104
393	17000000	950	0.0665
403	17000000	950	0.0476
413	17000000	950	0.0294
423	17000000	950	0.0188
425	17000000	950	0.0188
273	18000000	950	244
273	18000000	950	244
293	18000000	950	244
303	18000000	950	116
313	18000000	950	42.6
323	18000000	950	11.6
333	18000000	950	4.76
343	18000000	950	1.95
353	18000000	950	0.743
363	18000000	950	0.353
373	18000000	950	0.188
383	18000000	950	0.104
393	18000000	950	0.0665
403	18000000	950	0.0476
413	18000000	950	0.0294
423	18000000	950	0.0188
425	18000000	950	0.0188
273	19000000	950	244
273	19000000	950	244
293	19000000	950	244
303	19000000	950	116
313	19000000	950	42.6
323	19000000	950	11.6
333	19000000	950	4.76
343	19000000	950	1.95
353	19000000	950	0.743
363	19000000	950	0.353
373	19000000	950	0.188
383	19000000	950	0.104
393	19000000	950	0.0665
403	19000000	950	0.0476
413	19000000	950	0.0294
423	19000000	950	0.0188
425	19000000	950	0.0188
273	20000000	950	244
273	20000000	950	244
293	20000000	950	244
303	20000000	950	116
313	20000000	950	42.6
323	20000000	950	11.6
333	20000000	950	4.76
343	20000000	950	1.95
353	20000000	950	0.743
363	20000000	950	0.353
373	20000000	950	0.188
383	20000000	950	0.104
393	20000000	950	0.0665
403	20000000	950	0.0476
413	20000000	950	0.0294
423	20000000	950	0.0188
425	20000000	950	0.0188
273	21000000	950	244
273	21000000	950	244
293	21000000	950	244
303	21000000	950	116
313	21000000	950	42.6
323	21000000	950	11.6
333	21000000	950	4.76
343	21000000	950	1.95
353	21000000	950	0.743
363	21000000	950	0.353
373	21000000	950	0.188
383	21000000	950	0.104
393	21000000	950	0.0665
403	21000000	950	0.0476
413	21000000	950	0.0294
423	21000000	950	0.0188
425	21000000	950	0.0188
273	22000000	950	244
273	22000000	950	244
293	22000000	950	244
303	22000000	950	116
313	22000000	950	42.6
323	22000000	950	11.6
333	22000000	950	4.76
343	22000000	950	1.95
353	22000000	950	0.743
363	22000000	950	0.353
373	22000000	950	0.188
383	22000000	950	0.104
393	22000000	950	0.0665
403	22000000	950	0.0476
413	22000000	950	0.0294
423	22000000	950	0.0188
425	22000000	950	0.0188
273	23000000	950	244
273	23000000	950	244
293	23000000	950	244
303	23000000	950	116
313	23000000	950	42.6
323	23000000	950	11.6
333	23000000	950	4.76
343	23000000	950	1.95
353	23000000	950	0.743
363	23000000	950	0.353
373	23000000	950	0.188
383	23000000	950	0.104
393	23000000	950	0.0665
403	23000000	950	0.0476
413	23000000	950	0.0294
423	23000000	950	0.0188
425	23000000	950	0.0188
273	24000000	950	244
273	24000000	950	244
293	24000000	950	244
303	24000000	950	116
313	24000000	950	42.6
323	24000000	950	11.6
333	24000000	950	4.76
343	24000000	950	1.95
353	24000000	950	0.743
363	24000000	950	0.353
373	24000000	950	0.188
383	24000000	950	0.104
393	24000000	950	0.0665
403	24000000	950	0.0476
413	24000000	950	0.0294
423	24000000	950	0.0188
425	24000000	950	0.0188
273	25000000	950	244
273	25000000	950	244
293	25000000	950	244
303	25000000	950	116
313	25000000	950	42.6
323	25000000	950	11.6
333	25000000	950	4.76
343	25000000	950	1.95
353	25000000	950	0.743
363	25000000	950	0.353
373	25000000	950	0.188
383	25000000	950	0.104
393	25000000	950	0.0665
