44	955.69	0.1063
44.2	956.45	0.10652
44.4	957.2	0.10675
44.6	957.95	0.10697
44.8	958.69	0.10719
45	959.43	0.10741
45.2	960.17	0.10764
45.4	960.9	0.10786
45.6	961.63	0.10808
45.8	962.36	0.1083
46	963.08	0.10852
46.2	963.8	0.10874
46.4	964.52	0.10896
46.6	965.23	0.10918
46.8	965.94	0.1094
47	966.65	0.10962
47.2	967.35	0.10984
47.4	968.05	0.11006
47.6	968.75	0.11027
47.8	969.45	0.11049
48	970.14	0.11071
48.2	970.83	0.11092
48.4	971.51	0.11114
48.6	972.2	0.11136
48.8	972.87	0.11157
49	973.55	0.11179
49.2	974.23	0.112
49.4	974.9	0.11222
49.6	975.56	0.11243
49.8	976.23	0.11264
50	976.89	0.11286
50.2	977.55	0.11307
50.4	978.21	0.11328
50.6	978.86	0.11349
50.8	979.52	0.11371
51	980.17	0.11392
51.2	980.81	0.11413
51.4	981.46	0.11434
51.6	982.1	0.11455
51.8	982.74	0.11476
52	983.37	0.11497
52.2	984.01	0.11518
52.4	984.64	0.11539
52.6	985.27	0.1156
52.8	985.89	0.11581
53	986.52	0.11602
53.2	987.14	0.11623
53.4	987.76	0.11644
53.6	988.37	0.11665
53.8	988.99	0.11685
54	989.6	0.11706
54.2	990.21	0.11727
54.4	990.82	0.11748
54.6	991.42	0.11768
54.8	992.02	0.11789
55	992.63	0.1181
55.2	993.22	0.1183
55.4	993.82	0.11851
55.6	994.41	0.11871
55.8	995.01	0.11892
56	995.6	0.11912
56.2	996.18	0.11933
56.4	996.77	0.11953
56.6	997.35	0.11974
56.8	997.93	0.11994
57	998.51	0.12014
57.2	999.09	0.12035
57.4	999.67	0.12055
57.6	1000.2	0.12075
57.8	1000.8	0.12096
58	1001.4	0.12116
58.2	1001.9	0.12136
58.4	1002.5	0.12156
58.6	1003.1	0.12176
58.8	1003.6	0.12197
59	1004.2	0.12217
59.2	1004.8	0.12237
59.4	1005.3	0.12257
59.6	1005.9	0.12277
59.8	1006.4	0.12297
60	1007	0.12317
60.2	1007.5	0.12337
60.4	1008.1	0.12357
60.6	1008.6	0.12377
60.8	1009.2	0.12397
61	1009.7	0.12417
61.2	1010.2	0.12437
61.4	1010.8	0.12457
61.6	1011.3	0.12477
61.8	1011.8	0.12496
62	1012.4	0.12516
62.2	1012.9	0.12536
62.4	1013.4	0.12556
62.6	1014	0.12576
62.8	1014.5	0.12595
63	1015	0.12615
63.2	1015.5	0.12635
63.4	1016.1	0.12654
63.6	1016.6	0.12674
63.8	1017.1	0.12694
64	1017.6	0.12713
64.2	1018.1	0.12733
64.4	1018.6	0.12753
64.6	1019.1	0.12772
64.8	1019.7	0.12792
65	1020.2	0.12811
65.2	1020.7	0.12831
65.4	1021.2	0.1285
65.6	1021.7	0.1287
65.8	1022.2	0.12889
66	1022.7	0.12909
66.2	1023.2	0.12928
66.4	1023.7	0.12947
66.6	1024.2	0.12967
66.8	1024.7	0.12986
67	1025.2	0.13006
67.2	1025.7	0.13025
67.4	1026.1	0.13044
67.6	1026.6	0.13064
67.8	1027.1	0.13083
68	1027.6	0.13102
68.2	1028.1	0.13121
68.4	1028.6	0.13141
68.6	1029.1	0.1316
68.8	1029.5	0.13179
69	1030	0.13198
69.2	1030.5	0.13218
69.4	1031	0.13237
69.6	1031.5	0.13256
69.8	1031.9	0.13275
70	1032.4	0.13294
70.2	1032.9	0.13313
70.4	1033.3	0.13332
70.6	1033.8	0.13351
70.8	1034.3	0.13371
71	1034.7	0.1339
71.2	1035.2	0.13409
71.4	1035.7	0.13428
71.6	1036.1	0.13447
71.8	1036.6	0.13466
72	1037.1	0.13485
72.2	1037.5	0.13504
72.4	1038	0.13523
72.6	1038.4	0.13541
72.8	1038.9	0.1356
73	1039.3	0.13579
73.2	1039.8	0.13598
73.4	1040.2	0.13617
73.6	1040.7	0.13636
73.8	1041.1	0.13655
74	1041.6	0.13674
74.2	1042	0.13693
74.4	1042.5	0.13711
74.6	1042.9	0.1373
74.8	1043.4	0.13749
75	1043.8	0.13768
75.2	1044.3	0.13786
75.4	1044.7	0.13805
75.6	1045.1	0.13824
75.8	1045.6	0.13843
76	1046	0.13861
76.2	1046.5	0.1388
76.4	1046.9	0.13899
76.6	1047.3	0.13917
76.8	1047.8	0.13936
77	1048.2	0.13955
77.2	1048.6	0.13973
77.4	1049	0.13992
77.6	1049.5	0.14011
77.8	1049.9	0.14029
78	1050.3	0.14048
78.2	1050.8	0.14066
78.4	1051.2	0.14085
78.6	1051.6	0.14104
78.8	1052	0.14122
79	1052.4	0.14141
79.2	1052.9	0.14159
79.4	1053.3	0.14178
79.6	1053.7	0.14196
79.8	1054.1	0.14215
80	1054.5	0.14233
80.2	1055	0.14252
80.4	1055.4	0.1427
80.6	1055.8	0.14288
80.8	1056.2	0.14307
81	1056.6	0.14325
81.2	1057	0.14344
81.4	1057.4	0.14362
81.6	1057.8	0.14381
81.8	1058.2	0.14399
82	1058.6	0.14417
82.2	1059	0.14436
82.4	1059.5	0.14454
82.6	1059.9	0.14472
82.8	1060.3	0.14491
83	1060.7	0.14509
83.2	1061.1	0.14527
83.4	1061.5	0.14546
83.6	1061.9	0.14564
83.8	1062.3	0.14582
84	1062.7	0.146
84.2	1063.1	0.14619
84.4	1063.5	0.14637
84.6	1063.8	0.14655
84.8	1064.2	0.14673
85	1064.6	0.14692
85.2	1065	0.1471
85.4	1065.4	0.14728
85.6	1065.8	0.14746
85.8	1066.2	0.14764
86	1066.6	0.14783
86.2	1067	0.14801
86.4	1067.4	0.14819
86.6	1067.7	0.14837
86.8	1068.1	0.14855
87	1068.5	0.14873
87.2	1068.9	0.14891
87.4	1069.3	0.14909
87.6	1069.7	0.14928
87.8	1070	0.14946
88	1070.4	0.14964
88.2	1070.8	0.14982
88.4	1071.2	0.15
88.6	1071.6	0.15018
88.8	1071.9	0.15036
89	1072.3	0.15054
89.2	1072.7	0.15072
89.4	1073.1	0.1509
89.6	1073.4	0.15108
89.8	1073.8	0.15126
90	1074.2	0.15144
90.2	1074.6	0.15162
90.4	1074.9	0.1518
90.6	1075.3	0.15198
90.8	1075.7	0.15216
91	1076	0.15234
91.2	1076.4	0.15252
91.4	1076.8	0.1527
91.6	1077.1	0.15288
91.8	1077.5	0.15305
92	1077.9	0.15323
92.2	1078.2	0.15341
92.4	1078.6	0.15359
92.6	1079	0.15377
92.8	1079.3	0.15395
93	1079.7	0.15413
93.2	1080	0.15431
93.4	1080.4	0.15449
93.6	1080.8	0.15466
93.8	1081.1	0.15484
94	1081.5	0.15502
94.2	1081.8	0.1552
94.4	1082.2	0.15538
94.6	1082.6	0.15555
94.8	1082.9	0.15573
95	1083.3	0.15591
95.2	1083.6	0.15609
95.4	1084	0.15627
95.6	1084.3	0.15644
95.8	1084.7	0.15662
96	1085	0.1568
96.2	1085.4	0.15698
96.4	1085.7	0.15715
96.6	1086.1	0.15733
96.8	1086.4	0.15751
97	1086.8	0.15769
97.2	1087.1	0.15786
97.4	1087.5	0.15804
97.6	1087.8	0.15822
97.8	1088.2	0.15839
98	1088.5	0.15857
98.2	1088.8	0.15875
98.4	1089.2	0.15892
98.6	1089.5	0.1591
98.8	1089.9	0.15928
99	1090.2	0.15945
99.2	1090.6	0.15963
99.4	1090.9	0.15981
99.6	1091.2	0.15998
99.8	1091.6	0.16016
100	1091.9	0.16033
100.2	1092.2	0.16051
100.4	1092.6	0.16069
100.6	1092.9	0.16086
100.8	1093.3	0.16104
101	1093.6	0.16121
101.2	1093.9	0.16139
101.4	1094.3	0.16157
101.6	1094.6	0.16174
101.8	1094.9	0.16192
102	1095.3	0.16209
102.2	1095.6	0.16227
102.4	1095.9	0.16244
102.6	1096.2	0.16262
102.8	1096.6	0.16279
103	1096.9	0.16297
103.2	1097.2	0.16314
103.4	1097.6	0.16332
103.6	1097.9	0.16349
103.8	1098.2	0.16367
104	1098.5	0.16384
104.2	1098.9	0.16402
104.4	1099.2	0.16419
104.6	1099.5	0.16437
104.8	1099.8	0.16454
105	1100.2	0.16472
105.2	1100.5	0.16489
105.4	1100.8	0.16507
105.6	1101.1	0.16524
105.8	1101.5	0.16542
106	1101.8	0.16559
106.2	1102.1	0.16576
106.4	1102.4	0.16594
106.6	1102.7	0.16611
106.8	1103.1	0.16629
107	1103.4	0.16646
107.2	1103.7	0.16663
107.4	1104	0.16681
107.6	1104.3	0.16698
107.8	1104.6	0.16716
108	1105	0.16733
108.2	1105.3	0.1675
108.4	1105.6	0.16768
108.6	1105.9	0.16785
108.8	1106.2	0.16802
109	1106.5	0.1682
109.2	1106.8	0.16837
109.4	1107.1	0.16854
109.6	1107.5	0.16872
109.8	1107.8	0.16889
110	1108.1	0.16906
